Step	H0					ombh2				omch2				tau					As					ns					NewChi2				DeltaChi2			Prob				Accept
00001	6.5299645020e+01	2.0054716917e-02	9.9206316215e-02	6.1080968789e-02	2.0414893929e-09	9.6207429107e-01	1.6009496544e+03	1.2512982304e+01	1.9179638473e-03	0
00002	6.4399100531e+01	1.9889919505e-02	1.0089083052e-01	2.8391915513e-02	1.9136581516e-09	9.5574296543e-01	1.5680907935e+03	-2.0345878524e+01	2.6184928135e+04	1
00003	6.4471901569e+01	1.9940830991e-02	1.0088149574e-01	4.2941715725e-02	1.9726650013e-09	9.5619491148e-01	1.5758438300e+03	7.7530364758e+00	2.0722851760e-02	0
00004	6.4224871509e+01	1.9842404216e-02	1.0094370515e-01	2.2728121521e-02	1.8886424031e-09	9.5401634707e-01	1.5619395852e+03	-6.1512083772e+00	2.1662966476e+01	1
00005	6.4337004931e+01	1.9890333071e-02	1.0074125834e-01	1.4801856373e-02	1.8547118632e-09	9.5448604371e-01	1.5483077641e+03	-1.3631821080e+01	9.1224677497e+02	1
00006	6.4338167603e+01	1.9888297561e-02	1.0079191856e-01	1.5477391768e-02	1.8573533060e-09	9.5354778516e-01	1.5488106567e+03	5.0289265446e-01	7.7767519647e-01	0
00007	6.4446476002e+01	1.9837604703e-02	1.0009704386e-01	9.3949250327e-03	1.8261335274e-09	9.5323162041e-01	1.5431314912e+03	-5.1762728745e+00	1.3304953870e+01	1
00008	6.4495825366e+01	1.9867522754e-02	1.0029906388e-01	7.2560318395e-03	1.8186195012e-09	9.5368030328e-01	1.5307555260e+03	-1.2375965171e+01	4.8686291039e+02	1
00009	6.4202748815e+01	1.9894588451e-02	1.0116937124e-01	2.1602722951e-02	1.8848744614e-09	9.5496050566e-01	1.5505739323e+03	1.9818406223e+01	4.9715037198e-05	0
00010	6.4508058018e+01	1.9847664955e-02	9.9869314957e-02	6.2913464902e-03	1.8117336640e-09	9.5374810732e-01	1.5377776021e+03	7.0220760222e+00	2.9865897208e-02	0
00011	6.4764197252e+01	2.0012708063e-02	9.9735488902e-02	2.0137872815e-02	1.8707199557e-09	9.5809528276e-01	1.5582087626e+03	2.7453236542e+01	1.0929629236e-06	0
00012	6.4784635906e+01	1.9874460385e-02	9.9394195546e-02	1.3121197550e-02	1.8375020529e-09	9.5518536056e-01	1.5510875515e+03	2.0332025511e+01	3.8455349016e-05	0
00013	6.4935275162e+01	2.0038367181e-02	9.9794936403e-02	3.5546960413e-02	1.9373423391e-09	9.6005032126e-01	1.5771011405e+03	4.6345614503e+01	8.6333168545e-11	0
00014	6.4657402110e+01	2.0022930486e-02	1.0052857409e-01	3.2785630097e-02	1.9274443064e-09	9.5758704959e-01	1.5591346710e+03	2.8379144991e+01	6.8793430156e-07	0
00015	6.4242137838e+01	1.9867801627e-02	1.0119932276e-01	1.4742690574e-03	1.8010125184e-09	9.5252431408e-01	1.5103560899e+03	-2.0399436098e+01	2.6895601770e+04	1
00016	6.4042816272e+01	1.9871359896e-02	1.0180769787e-01	1.1759234161e-02	1.8476283793e-09	9.5224370963e-01	1.5290853818e+03	1.8729291866e+01	8.5701011190e-05	0
00017	6.4454262077e+01	1.9948963076e-02	1.0134296062e-01	3.7594970142e-03	1.8120977798e-09	9.5375991443e-01	1.5062328180e+03	-4.1232719372e+00	7.8588160756e+00	1
00018	6.4439587552e+01	1.9966690128e-02	1.0127483949e-01	5.0984611393e-03	1.8167515202e-09	9.5351159131e-01	1.5101347026e+03	3.9018846333e+00	1.4214006751e-01	0
00019	6.4548613201e+01	1.9986091333e-02	1.0096290192e-01	2.7197939198e-02	1.9057931172e-09	9.5578141025e-01	1.5442233399e+03	3.7990521896e+01	5.6294113967e-09	0
